LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
GRC,TOT,USD,A,2003,31886.08838
GRC,TOT,USD,A,2004,32458.14087
GRC,TOT,USD,A,2005,32359.28144
GRC,TOT,USD,A,2006,32747.18214
GRC,TOT,USD,A,2007,32739.6593
GRC,TOT,USD,A,2008,32246.40795
GRC,TOT,USD,A,2009,33761.80093
GRC,TOT,USD,A,2010,31510.05117
GRC,TOT,USD,A,2011,29445.28719
GRC,TOT,USD,A,2012,28108.0392
GRC,TOT,USD,A,2013,26289.75623
GRC,TOT,USD,A,2014,26803.24237
GRC,TOT,USD,A,2015,26585.0661
GRC,TOT,USD,A,2016,26506.09185
GRC,TOT,USD,A,2017,26486.31002
GRC,TOT,USD,A,2018,26670.95427
HUN,TOT,USD,A,1995,15012.53086
HUN,TOT,USD,A,1996,15025.14367
HUN,TOT,USD,A,1997,15476.47834
HUN,TOT,USD,A,1998,15638.98645
HUN,TOT,USD,A,1999,15540.21672
HUN,TOT,USD,A,2000,16094.06706
HUN,TOT,USD,A,2001,17257.90031
HUN,TOT,USD,A,2002,18114.64825
HUN,TOT,USD,A,2003,19807.60237
HUN,TOT,USD,A,2004,21014.32354
HUN,TOT,USD,A,2005,21860.82638
HUN,TOT,USD,A,2006,22284.39709
HUN,TOT,USD,A,2007,21951.65941
HUN,TOT,USD,A,2008,22199.46976
HUN,TOT,USD,A,2009,21364.51232
HUN,TOT,USD,A,2010,21617.7991
HUN,TOT,USD,A,2011,21604.24091
HUN,TOT,USD,A,2012,20852.27408
HUN,TOT,USD,A,2013,20893.44423
HUN,TOT,USD,A,2014,20707.45771
HUN,TOT,USD,A,2015,20150.14824
HUN,TOT,USD,A,2016,21077.55692
HUN,TOT,USD,A,2017,22492.67745
HUN,TOT,USD,A,2018,24454.71079
IRL,TOT,USD,A,1990,24469.34622
IRL,TOT,USD,A,1991,27526.06795
IRL,TOT,USD,A,1992,28701.0238
IRL,TOT,USD,A,1993,30134.65055
IRL,TOT,USD,A,1994,30361.85274
IRL,TOT,USD,A,1995,31051.98423
IRL,TOT,USD,A,1996,31354.30423
IRL,TOT,USD,A,1997,33290.78828
IRL,TOT,USD,A,1998,35215.56146
IRL,TOT,USD,A,1999,35988.05684
IRL,TOT,USD,A,2000,36665.93023
IRL,TOT,USD,A,2001,37896.95787
IRL,TOT,USD,A,2002,38086.79817
IRL,TOT,USD,A,2003,39057.02587
IRL,TOT,USD,A,2004,40126.43424
IRL,TOT,USD,A,2005,41794.35139
IRL,TOT,USD,A,2006,42255.59369
IRL,TOT,USD,A,2007,43479.09419
IRL,TOT,USD,A,2008,44888.38425
IRL,TOT,USD,A,2009,48159.97881
IRL,TOT,USD,A,2010,48697.70833
IRL,TOT,USD,A,2011,48764.65687
IRL,TOT,USD,A,2012,48153.35402
IRL,TOT,USD,A,2013,46724.76237
IRL,TOT,USD,A,2014,46314.70793
IRL,TOT,USD,A,2015,47244.93408
IRL,TOT,USD,A,2016,47709.02246
IRL,TOT,USD,A,2017,47302.77916
IRL,TOT,USD,A,2018,47951.85243
ITA,TOT,USD,A,1990,37088.39643
ITA,TOT,USD,A,1991,37399.98054
ITA,TOT,USD,A,1992,37363.77325
ITA,TOT,USD,A,1993,36788.2478
ITA,TOT,USD,A,1994,36311.85996
ITA,TOT,USD,A,1995,35516.89406
ITA,TOT,USD,A,1996,35809.41106
ITA,TOT,USD,A,1997,36660.98145
ITA,TOT,USD,A,1998,36831.594
ITA,TOT,USD,A,1999,37178.57292
ITA,TOT,USD,A,2000,37144.63962
ITA,TOT,USD,A,2001,37332.08164
ITA,TOT,USD,A,2002,37078.44335
ITA,TOT,USD,A,2003,37038.10197
ITA,TOT,USD,A,2004,37796.24783
ITA,TOT,USD,A,2005,38222.73451
ITA,TOT,USD,A,2006,38484.53565
ITA,TOT,USD,A,2007,38448.92455
ITA,TOT,USD,A,2008,38488.64521
ITA,TOT,USD,A,2009,38680.94242
